city,state,age,dateMissing,state_code,city_code,cluster
SAN JACINTO,CA,19,20200912,5,1080,0
SANTA ANA,CA,38,19871120,5,1095,0
SANTA ANA,CA,40,19871120,5,1095,0
LEHIGH ACRES,FL,20,20210513,10,654,0
LA VISTA,NE,15,20210517,31,619,2
HUMACAO,PR,18,20210318,41,543,2
ALBUQUERQUE,NM,28,20110317,34,14,2
ZANESVILLE,OH,16,20110604,37,1365,0
LAS VEGAS,NV,36,19920216,35,638,1
VIRGINIA BEACH,VA,64,19780823,48,1274,1
FORT LAUDERDALE,FL,24,20161217,10,404,2
FORT LAUDERDALE,FL,21,20161217,10,404,2
SAN JACINTO,CA,20,20210324,5,1080,0
CHANDLER,AZ,18,20201117,4,206,2
NORCROSS,GA,20,20051217,11,848,0
ALVIN,TX,62,19800514,46,24,1
FRAMINGHAM,MA,25,20150808,20,411,2
CALIFORNIA CITY,CA,8,20201221,5,170,2
CALIFORNIA CITY,CA,7,20201221,5,170,2
NAMPA,ID,14,20120630,14,810,0
FEDERAL WAY,WA,34,20110203,51,386,2
MIAMI,FL,10,20151122,10,746,0
MEMPHIS,TN,23,20180702,45,736,2
SAINT LOUIS,MO,21,20201108,25,1063,0
AIEA,HI,5,20210131,12,8,2
REDMOND,WA,8,20190603,51,1002,0
BAKERSFIELD,CA,18,20201028,5,64,2
WORTHAM,TX,39,20051025,46,1350,1
PHOENIX,AZ,25,20131221,4,942,0
CONCORD,NH,72,19680108,32,258,1
PHOENIX,AZ,38,20010914,4,942,0
TAMPA,FL,49,19821115,10,1196,1
NORRISTOWN,PA,8,20170813,40,851,0
NORRISTOWN,PA,11,20170813,40,851,0
COVINA,CA,10,20200302,5,273,2
COVINA,CA,11,20200302,5,273,2
MARINA DEL REY,CA,7,20181024,5,718,0
HOMESTEAD,FL,51,19821206,10,535,1
AUSTIN,TX,36,20070502,46,61,2
DAVAO CITY,,12,20160405,0,295,2
MIAMI,FL,32,20120601,10,746,0
TUCSON,AZ,21,20190720,4,1233,0
GARDEN CITY,KS,45,19950116,17,433,1
WEATHERFORD,TX,19,20200929,46,1299,0
PHILADELPHIA,PA,15,20170205,40,941,0
JACKSON,MS,44,19880726,27,562,1
FLINT,MI,74,19581121,23,392,1
WELLS,TX,4,20200918,46,1303,0
PLACERVILLE,CA,62,19770801,5,952,1
NORTH MIAMI BEACH,FL,38,20070506,10,861,0
POMPANO BEACH,FL,63,19790915,10,960,1
POMPANO BEACH,FL,63,19790915,10,960,1
ROHNERT PARK,CA,22,20120601,5,1037,0
NAPLES,FL,40,19981115,10,812,1
EDMONDS,WA,25,20160419,51,340,2
PHOENIX,AZ,21,20200115,4,942,0
FULLERTON,CA,40,20001015,5,423,1
ROBERTSDALE,AL,32,20120531,2,1026,0
NEW BERN,NC,41,20000606,29,824,1
HUEYTOWN,AL,54,19730917,2,542,1
ASHTABULA,OH,48,19910810,37,50,2
SAINT LOUIS,MO,29,20100725,25,1063,0
BUFFALO GROVE,IL,35,20071020,15,159,2
CATAWBA,SC,62,19770629,43,190,1
