city,state,missing_kids,avg_age,avg_risk,num_hospitals,num_firestations,num_police,lat,lng,cluster
AURORA                   ,MO,1,58.0,0.0,0.0,0.0,0.0,,,0
AUSTIN                   ,TX,8,24.25,0.0,0.0,0.0,0.0,,,1
AVONDALE                 ,AZ,1,24.0,0.0,0.0,0.0,0.0,,,1
AZUSA                    ,CA,2,17.0,0.0,0.0,0.0,0.0,,,1
BAKERSFIELD              ,CA,6,22.0,0.0,0.0,0.0,0.0,,,1
BALDWIN PARK             ,CA,1,1.0,0.0,0.0,0.0,0.0,,,1
BALL GROUND              ,GA,1,17.0,0.0,0.0,0.0,0.0,,,1
BALMORHEA                ,TX,1,38.0,0.0,0.0,0.0,0.0,,,0
BALTIMORE                ,MD,13,33.0,0.0,0.0,0.0,0.0,,,1
BARNEGAT                 ,NJ,1,19.0,0.0,0.0,0.0,0.0,,,1
BARRE                    ,MA,1,34.0,0.0,0.0,0.0,0.0,,,1
BARRE                    ,VT,1,16.0,0.0,0.0,0.0,0.0,,,1
BARTOW                   ,FL,2,19.5,0.0,0.0,0.0,0.0,,,1
BATAVIA                  ,OH,1,53.0,0.0,0.0,0.0,0.0,,,0
BATH                     ,MI,1,52.0,0.0,0.0,0.0,0.0,,,0
BATON ROUGE              ,LA,4,13.75,0.0,0.0,0.0,0.0,,,1
BATTLE CREEK             ,MI,1,19.0,0.0,0.0,0.0,0.0,,,1
BAY MINETTE              ,AL,1,17.0,0.0,0.0,0.0,0.0,,,1
BEALETON                 ,VA,1,19.0,0.0,0.0,0.0,0.0,,,1
BEAUFORT                 ,SC,2,15.0,0.0,0.0,0.0,0.0,,,1
BEAUMONT                 ,CA,2,16.5,0.0,0.0,0.0,0.0,,,1
BEAUMONT                 ,TX,1,13.0,0.0,0.0,0.0,0.0,,,1
BEAVER DAM               ,KY,2,9.0,0.0,0.0,0.0,0.0,,,1
BEAVER DAM               ,WI,1,16.0,0.0,0.0,0.0,0.0,,,1
BEDFORD                  ,IA,1,64.0,0.0,0.0,0.0,0.0,,,0
BEL AIR                  ,MD,1,25.0,0.0,0.0,0.0,0.0,,,1
BELCHERTOWN              ,MA,1,17.0,0.0,0.0,0.0,0.0,,,1
BELL GARDENS             ,CA,5,6.8,0.0,0.0,0.0,0.0,,,1
BELLEVILLE               ,IL,1,49.0,0.0,0.0,0.0,0.0,,,0
BELLEVILLE               ,MI,1,17.0,0.0,0.0,0.0,0.0,,,1
BELLEVILLE               ,WV,1,18.0,0.0,0.0,0.0,0.0,,,1
BELLEVUE                 ,NE,1,15.0,0.0,0.0,0.0,0.0,,,1
BELLEVUE                 ,WA,2,18.0,0.0,0.0,0.0,0.0,,,1
BELLFLOWER               ,CA,2,16.5,0.0,0.0,0.0,0.0,,,1
BELMONT                  ,MA,1,22.0,0.0,0.0,0.0,0.0,,,1
BELMONT                  ,NC,1,16.0,0.0,0.0,0.0,0.0,,,1
BEMIDJI                  ,MN,3,29.666666666666668,0.0,0.0,0.0,0.0,,,1
BENICIA                  ,CA,1,15.0,0.0,0.0,0.0,0.0,,,1
BENSALEM                 ,PA,2,35.5,0.0,0.0,0.0,0.0,,,1
BENTON HARBOR            ,MI,1,36.0,0.0,0.0,0.0,0.0,,,0
BERKELEY                 ,CA,1,45.0,0.0,0.0,0.0,0.0,,,0
BERKELEY                 ,MO,2,35.0,0.0,0.0,0.0,0.0,,,1
BESSEMER                 ,AL,1,15.0,0.0,0.0,0.0,0.0,,,1
BETHEL                   ,AK,1,46.0,0.0,0.0,0.0,0.0,,,0
BETHESDA                 ,MD,1,66.0,0.0,0.0,0.0,0.0,,,0
BIG BEAR LAKE            ,CA,1,38.0,0.0,0.0,0.0,0.0,,,0
BIG CREEK                ,KY,1,16.0,0.0,0.0,0.0,0.0,,,1
BIG SANDY                ,TX,1,43.0,0.0,0.0,0.0,0.0,,,0
BILOXI                   ,MS,1,9.0,0.0,0.0,0.0,0.0,,,1
BINGHAMTON               ,NY,1,18.0,0.0,0.0,0.0,0.0,,,1
BIRMINGHAM               ,AL,5,24.8,0.0,0.0,0.0,0.0,,,1
BISBEE                   ,AZ,1,33.0,0.0,0.0,0.0,0.0,,,1
BISCARROSSE              ,  ,1,15.0,0.0,0.0,0.0,0.0,,,1
BISHOP                   ,CA,2,28.0,0.0,0.0,0.0,0.0,,,1
BISMARCK                 ,ND,3,21.0,0.0,0.0,0.0,0.0,,,1
BLACK RIVER FALLS        ,WI,1,33.0,0.0,0.0,0.0,0.0,,,1
BLACKLICK                ,OH,1,17.0,0.0,0.0,0.0,0.0,,,1
BLACKWOOD                ,NJ,1,14.0,0.0,0.0,0.0,0.0,,,1
BLADENSBURG              ,MD,1,32.0,0.0,0.0,0.0,0.0,,,1
BLAIRSVILLE              ,PA,1,53.0,0.0,0.0,0.0,0.0,,,0
BLANCH                   ,NC,1,15.0,0.0,0.0,0.0,0.0,,,1
BLOOMINGTON              ,CA,1,43.0,0.0,0.0,0.0,0.0,,,0
BLOOMINGTON              ,IL,1,3.0,0.0,0.0,0.0,0.0,,,1
BLOOMINGTON              ,IN,2,25.0,0.0,0.0,0.0,0.0,,,1
BLOOMSDALE               ,MO,1,16.0,0.0,0.0,0.0,0.0,,,1
BLUE SPRINGS             ,MO,1,17.0,0.0,0.0,0.0,0.0,,,1
BLUEFIELD                ,WV,1,17.0,0.0,0.0,0.0,0.0,,,1
BLUEMONT                 ,VA,1,16.0,0.0,0.0,0.0,0.0,,,1
BLYTHEVILLE              ,AR,1,53.0,0.0,0.0,0.0,0.0,,,0
BOERNE                   ,TX,1,15.0,0.0,0.0,0.0,0.0,,,1
BOISE                    ,ID,1,48.0,0.0,0.0,0.0,0.0,,,0
BOLINGBROOK              ,IL,1,42.0,0.0,0.0,0.0,0.0,,,0
BONANZA                  ,OR,1,34.0,0.0,0.0,0.0,0.0,,,1
BONITA SPRINGS           ,FL,1,35.0,0.0,0.0,0.0,0.0,,,1
BOONE                    ,NC,1,28.0,0.0,0.0,0.0,0.0,,,1
BOONVILLE                ,MO,1,16.0,0.0,0.0,0.0,0.0,,,1
BOOTHWYN                 ,PA,1,27.0,0.0,0.0,0.0,0.0,,,1
BORREGO SPRINGS          ,CA,1,68.0,0.0,0.0,0.0,0.0,,,0
BOSTON                   ,MA,4,25.75,0.0,0.0,0.0,0.0,,,1
BOULDER CITY             ,NV,1,18.0,0.0,0.0,0.0,0.0,,,1
BOULDER CREEK            ,CA,1,43.0,0.0,0.0,0.0,0.0,,,0
BOWIE                    ,MD,2,21.0,0.0,0.0,0.0,0.0,,,1
BOWLING GREEN            ,KY,3,22.666666666666668,0.0,0.0,0.0,0.0,,,1
BOYNTON BEACH            ,FL,2,40.0,0.0,0.0,0.0,0.0,,,0
BRADENTON                ,FL,3,44.333333333333336,0.0,0.0,0.0,0.0,,,0
BRAINTREE                ,MA,3,15.333333333333334,0.0,0.0,0.0,0.0,,,1
BRANDON                  ,FL,1,32.0,0.0,0.0,0.0,0.0,,,1
BRATTLEBORO              ,VT,1,30.0,0.0,0.0,0.0,0.0,,,1
BRAWLEY                  ,CA,1,13.0,0.0,0.0,0.0,0.0,,,1
BREMERTON                ,WA,2,35.0,0.0,0.0,0.0,0.0,,,1
BRENTWOOD                ,CA,3,13.0,0.0,0.0,0.0,0.0,,,1
BRENTWOOD                ,MD,1,42.0,0.0,0.0,0.0,0.0,,,0
BRIDGEPORT               ,CT,4,27.5,0.0,0.0,0.0,0.0,,,1
BRIDGETON                ,MO,1,17.0,0.0,0.0,0.0,0.0,,,1
BRIDGETON                ,NJ,1,10.0,0.0,0.0,0.0,0.0,,,1
BRISTOW                  ,IN,1,41.0,0.0,0.0,0.0,0.0,,,0
BROCKTON                 ,MA,3,28.0,0.0,0.0,0.0,0.0,,,1
BROKEN ARROW             ,OK,1,29.0,0.0,0.0,0.0,0.0,,,1
BRONX                    ,NY,10,21.8,0.0,0.0,0.0,0.0,,,1
BROOKLYN                 ,MD,1,17.0,0.0,0.0,0.0,0.0,,,1
BROOKLYN                 ,NY,15,36.733333333333334,0.0,0.0,0.0,0.0,,,1
BROOKWOOD                ,AL,1,52.0,0.0,0.0,0.0,0.0,,,0
BROUSSARD                ,LA,1,17.0,0.0,0.0,0.0,0.0,,,1
BROWNING                 ,MT,1,7.0,0.0,0.0,0.0,0.0,,,1
BROWNSBURG               ,IN,2,23.0,0.0,0.0,0.0,0.0,,,1
BROWNSVILLE              ,TX,2,28.0,0.0,0.0,0.0,0.0,,,1
BRUNSWICK                ,GA,4,37.0,0.0,0.0,0.0,0.0,,,1
